businessId,id,name,genre,isopen,stars
20,Qb4sJ4ssSX1clY2wEAOmsA,Trader Joe's,"Food, Specialty Food, Beer, Wine & Spirits, Shopping, Flowers & Gifts, Florists, Grocery",1,4.5
21,8TBt9XAVZIZR2Y0EqBHskg,Cobblestone Auto Spa,"Food, Gas Stations, Car Wash, Convenience Stores, Automotive, Auto Detailing, Oil Change Stations",1,2.5
22,jX9DocoiY4Bo9EUkaTSqvg,China AAA,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food",1,4.5
23,ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars",1,4.0
24,Hdzo5ggPswyv-8ZlW0PVLw,Gelato 64,"Coffee & Tea, Wedding Planning, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Party & Event Planning, Gelato",0,4.0
25,NX1281ugzs2navHAX5X9cQ,Cha Me Cha,"Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea",1,3.0
26,G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,"Arts & Entertainment, Botanical Gardens, Parks, Active Life",1,4.5
27,k2b3niokS_tosjah_rzCPw,Metro Pizza,"Restaurants, Pizza",1,3.5
28,QS3QxI7u5PRdtbGgI0-UsA,Sakana Sushi & Grill,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese",1,4.0
29,JjjQSlvTvGlIAta5CyA6UQ,Hobby Lobby,"Arts & Crafts, Wedding Planning, Art Supplies, Shopping, Home Decor, Event Planning & Services, Home & Garden, Hobby Shops",1,4.0
30,AMN3Sgns9tB2x-b3eWk0qQ,Noodles Ranch,"Vietnamese, Restaurants",1,4.0
31,h_ypoQ2rmwX8UGSmohsGiQ,Maman,"Event Planning & Services, American (Traditional), Bakeries, Cocktail Bars, Caterers, Bars, Coffee & Tea, Food, French, Restaurants, Nightlife",1,3.5
32,yGMCl0vYigshkXiZFIDTNw,Mimi's Cafe,"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French",1,3.0
33,j_pi7HWSARbfKabuPRsXbw,The Ten Spot - Queen West,"Waxing, Nail Salons, Hair Removal, Beauty & Spas, Skin Care",1,3.5
34,-bd4BQcl1ekgo7avaFngIw,Eggstasy,"Diners, Breakfast & Brunch, Restaurants",1,3.5
35,cmsAFAymfVoBitSF8R6GKw,Yao Fine Chinese Cuisine,"Chinese, Restaurants",1,4.0
36,BkIZ8UDA23qxnp_kR1Sv8Q,Eggspectation,"Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food",1,4.0
37,tcT3oHh_dwi_FYhozw3Ibw,Bomberos Cafe & Wine Bar,"Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges",0,4.0
38,9vub2LM7Djy8P-LPumcLXA,Tacos Chiwas,"Restaurants, Latin American, Mexican, Tacos",1,4.5
39,HFDZeMrm13xX5yJvpaRaIQ,Even Stevens Sandwiches,"Gluten-Free, Breakfast & Brunch, Sandwiches, Restaurants, Salad",0,4.5
40,JrrY4v21k7_qYxIidhi-aw,Kelly's Bar & Lounge,"Lounges, Nightlife, American (Traditional), Bars, Restaurants",1,3.5
41,hgQOESYp7CF4LnNI90XEiw,800 Degrees,"Pizza, Salad, Restaurants, Italian",1,3.5
42,1nF8Me63cpxIkFK8Ysx-DA,Shabu Shabu Paradise,"Fondue, Japanese, Restaurants",1,4.5
43,QSGerT1enEKlvJnYkwthHQ,Claim Jumper Restaurant & Saloon,"Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood",1,2.5
44,eoG9zP7xxsDHVM0kJYrvkw,The Shameful Tiki Room,"Cocktail Bars, Bars, Tiki Bars, Nightlife",1,4.0
45,GyAjuDFTsSLLE1v8NdmZ7g,Family Doctors of Green Valley,"Doctors, Health & Medical, Nutritionists, Hospitals, Family Practice, Weight Loss Centers, Urgent Care",1,3.0
46,o6ykIVqT34KgtaWT5WtE3w,Avondale Toyota,"Car Dealers, Auto Repair, Car Rental, Hotels & Travel, Auto Parts & Supplies, Automotive",1,4.0
47,3fdtp-bzoE4ZgTakkcEBzQ,City of Las Vegas,"Education, Middle Schools & High Schools, Local Flavor, Specialty Schools, Tennis, Amateur Sports Teams, Professional Services, Gyms, Public Services & Government, Elementary Schools, Parks, Driving Schools, Fitness & Instruction, Golf, Lawyers, Active Life",1,4.0
48,ncXQtqJT5Gk1QztwTrBrgw,New York Bagels 'N Bialys,"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels",1,4.0
49,sMzNLdhJZGzYirIWt-fMAg,Sienna Mercato,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants",1,4.0
50,SQ5we-HZLsFpj8ppMtEBcQ,Paul Mitchell The School Las Vegas,"Specialty Schools, Beauty & Spas, Cosmetology Schools, Hair Salons, Education, Vocational & Technical School",1,3.5
51,uwpPniaFEVkK5T_PWdQZ0A,Le Peep,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food",1,3.5
52,0WAL6O1YvcJbeDRYeRm34w,The Cove Trattoria,"Pizza, Restaurants, Italian",0,4.0
53,cs1qJvnWUg_f8g020z_3PQ,Pizzeria Bianco,"Tapas/Small Plates, Italian, Pizza, Restaurants",1,3.5
54,9E1q2uEMd881wnruicNTUA,Buffalo Wild Wings,"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)",1,3.0
55,y85X24N89dQgbEfGNuj2WQ,Kierland Commons,"Shopping, Outlet Stores, Shopping Centers",1,4.0
56,Ycp3Agr7dt71TZkeKV7jng,Le Gourmand,"Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch",1,4.0
57,8N5KG-iuAJrPVL6awBzBaQ,24 Hour Fitness - Wigwam Henderson,"Gyms, Trainers, Active Life, Fitness & Instruction",1,3.0
58,nrahyQyopCtajDqUtVVVfA,The Sushi,"Japanese, Sushi Bars, Restaurants",1,3.5
59,lyzrJAx85KdCQzZq8LSPMA,Jimmy & Joe's Pizzeria,"Pizza, Restaurants",0,3.5
60,tK-PQOhZo94fonbQVXaOSg,King Wok,"Chinese, Restaurants",1,4.0
61,eU_713ec6fTGNO4BegRaww,La Tavola Italiana,"Restaurants, Italian, Pizza",1,3.5
62,mXyLqsbe7FT1X8ZFOP8WpQ,Blue 32 Sports Grill,"American (New), Nightlife, Restaurants, Sports Bars, Bars",1,4.0
63,QEgfK_TKY8bwK-YzKDdkGw,Lumiere French Kitchen,"French, Restaurants",0,4.5
64,r-s-G1yyETRzTALYG9js8A,Whole Foods Market,"Health Markets, Grocery, Specialty Food, Organic Stores, Beer, Wine & Spirits, Food",1,3.5
65,SAfuIUZMXrOnb3LWyvYjDA,Jun's Korean Restaurant,"Korean, Restaurants",1,3.5
66,BJ3AyMhTaORAu_e_J2KNEQ,River Café,"Restaurants, Wine Bars, Cafes, Food, American (New), Local Flavor, Nightlife, Canadian (New), Bars",1,4.0
67,AfEOC5LlBeMt708QEQUihw,RC Willey,"Local Services, Shopping, Furniture Stores, Home & Garden, Home Services, Appliances, Carpeting, Appliances & Repair, Electronics, Mattresses",1,3.0
68,uF86ZhygpBEGr3CudNemYA,O.Noir,"Canadian (New), American (New), Restaurants",1,3.5
69,HTngUd7s8kLBiAbEtd65Ug,Elements Massage,"Day Spas, Massage, Beauty & Spas, Massage Therapy, Health & Medical",1,4.5
70,sQ6DZZLLJRfwUr0eDWKDDg,Tott's Asian Diner,"Restaurants, Chinese, Asian Fusion",1,4.0
71,9IJ-TE4HEcAJQkUtc1A_Vw,Parallax Restaurant and Lounge,"Restaurants, Asian Fusion, Sushi Bars, Thai",1,4.0
72,diaiQrxYFU1V5qxrFnW9fg,McCarran Rent-a-Car Center,"Car Rental, Hotels & Travel",1,3.0
73,1HD5iUUfVJDbfEBIn9yVhw,Boba Tea House,"Coffee & Tea, Food, Bubble Tea, Juice Bars & Smoothies",1,4.0
74,jobP3ywRd3QNZ_GCoPG2DQ,Brenden Theatres,"Cinema, Arts & Entertainment",1,3.5
75,sZTxJMS0co1D1k8aZCukBg,Best Buy Henderson,"Shopping, Electronics, Computers, Appliances, Home & Garden",1,2.5
76,fGdUxfeEWp9pn2sAa9rv2w,Roselle,"Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food",1,4.5
77,6nKR80xEGHYf2UxAe_Cu_g,The Thumb BBQ,"Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services",1,4.5
78,5Qoq8cif3nMCQUN-urH8YA,The Pickle Barrel,"Restaurants, Cocktail Bars, Canadian (New), Bars, Nightlife, Diners",1,2.5
79,FiG8PzWKRYehtPPcPtOStw,Salsa Blanca,"Mexican, Restaurants",0,4.0
80,I6qFvR-jVDGqDD_iVG38ng,Jenni Pho Grill,"Local Flavor, Food, Restaurants, Vietnamese",0,3.0
81,zPxWTy_2WOslWtKCr8B1nQ,OnTrac,"Professional Services, Couriers & Delivery Services, Local Services, Shipping Centers",0,1.0
82,NpFtNc51LaZr8Y5_o2wRaw,Texas Roadhouse,"Restaurants, American (Traditional), Steakhouses, Barbeque",1,3.5
83,4PqqRa7o_eNydKdGWYdIog,Tempe City Tacos,"Breakfast & Brunch, Specialty Food, Food, Tacos, Salad, Restaurants, Event Planning & Services, Caterers, Mexican",1,4.5
84,YzMUZjUMcgI-NSGu48-nIQ,Dolce Ristorante,"Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian",1,3.5
85,A0dDYy7DWik6BzDX6LnOtg,Harkins Theatres Estrella Falls 16,"Arts & Entertainment, Cinema",1,4.0
86,tEfvf1cznLZUIeTcKKpAIw,KooKoo Chicken,"Chinese, Restaurants, Taiwanese",0,3.5
87,hqtZ2NmUlrNtHp7xW2BWoA,Waffles Cafe,"Breakfast & Brunch, Bubble Tea, Restaurants, Cafes, Food, Juice Bars & Smoothies",1,4.0
88,eHhBGqQbDpCcSpz7SZPTbA,NYPD Pizza,"Salad, Chicken Wings, Restaurants, Italian, Pizza",0,4.0
89,FMOWO7_mj8lSZnV3WqpGiA,Target,"Department Stores, Fashion, Shopping, Food",1,3.5
90,yb7ZtgMWSZboG_sSUx9g2A,Fuego Taco Shop,"Food, Mexican, Restaurants",1,4.5
91,9_CGhHMz8698M9-PkVf0CQ,Little Coxwell Vietnamese & Thai Cuisine,"Restaurants, Vietnamese, Thai",1,4.0
92,ohz8ljVxcZMo2bMGrBZfgw,Origin India Las Vegas,"Vegetarian, Nightlife, Indian, Salad, Pakistani, Kosher, Restaurants, Bars",0,3.5
93,CDpoJiqgM04wqQTZ6QkTqQ,Squid Ink,"Nightlife, Bars, Restaurants, Japanese, Sushi Bars, American (New)",0,4.0
94,pi1DHl64UzYXkVuSwvsUwg,Tropicana Cinemas,"Arts & Entertainment, Cinema",1,3.5
95,BIbjBxoiJLS8CnNsSP64TQ,360 Gourmet Burrito,"Restaurants, Mexican",1,2.0
96,mpG1R1ktTI3x1twNBsGvXQ,Blue Ginger Asian Bistro,"Sushi Bars, Japanese, Asian Fusion, Restaurants, Chinese",1,4.0
97,SycRVheLdFcK-2jt8j5d4Q,National on 17th,"Pubs, Restaurants, Canadian (New), Bars, Nightlife",1,3.5
98,drLbXX7aRs7_1QAIVfvM_Q,Boulevard Salon,"Beauty & Spas, Hair Salons, Makeup Artists, Permanent Makeup",1,4.5
99,iE71iwcSljg3xm2GB2Y9aA,Marigold Maison- Paradise Valley,"Indian, Restaurants",1,4.0
100,vKnVb2RJfMBTnBCDooNAvA,Sweet Nails,"Nail Salons, Beauty & Spas",1,3.5
101,F-bdXFkJwwENiNpMTG2ntQ,The 3 Brewers,"Breweries, Bars, Pubs, Food, Restaurants, Gastropubs, Burgers, Nightlife",1,3.0
102,GMrwDXRlAZU2zj5nH6l4vQ,Pho Thanh Huong,"Vietnamese, American (New), Restaurants, Sandwiches",1,4.0
103,AxXcGjLCTVkeLwPRMHVL8Q,Home Pride Inspections,"Home Services, Home Inspectors",1,5.0
104,c78Pat78fVUBFPXYeVvbaQ,Odd Seoul,"Bars, Dive Bars, Korean, Restaurants, Asian Fusion, Nightlife",1,4.0
105,QvyG5fZ0mxo5yeLY8jabCA,Dos Gringos,"Bars, Nightlife, Restaurants, Mexican",1,3.0
106,4DVqziHGABcYUUw_E36c5g,Greater Cleveland Aquarium,"Aquariums, Arts & Entertainment, Event Planning & Services, Active Life, Museums, Venues & Event Spaces",1,3.0
107,8KiTq2GxJm8mpr8kayAp-A,Pho Tai Bac,"Vietnamese, Soup, Restaurants",1,4.0
108,CTJnbFKMq7Nv7xnLmjgOyg,Scapegoat Beer and Wine,"American (New), Nightlife, Bars, Restaurants, Wine Bars, Beer Bar",1,4.5
109,-WVF5DKZeEWlMK8Cucto-A,Savoy,"Restaurants, American (Traditional), Bars, Nightlife, Seafood, Wine Bars, American (New)",1,3.5
110,qVO3l9Q0-KVQE7W9JL9ePw,Greenland Supermarket,"Ethical Grocery, Grocery, Shopping, Food Stands, Food, Korean, Restaurants",1,4.0
111,VbqtbvvtNOe-YKA61-fSNA,Armadillo Grill,"Restaurants, Bars, Nightlife, Sports Bars, American (Traditional)",1,4.0
112,mLg4FenOcHpXZnW67QrVxw,Dodge Electric,"Contractors, Home Services, Local Services, Lighting Fixtures & Equipment, Electricians",1,4.5
113,68O4uYCd0YToLOLqHTBSZQ,Jeff Civillico: Comedy In Action,"Comedy Clubs, Hotels & Travel, Performing Arts, Nightlife, Arts & Entertainment",1,5.0
114,sKrt4CMGyG8YAjxVkk4hPQ,Fusaro's Kitchen,"Italian, Pizza, Restaurants",1,4.0
115,iR_vhTcQbPN_aEk3HxEQ8A,Zen Foot Spa,"Massage Therapy, Beauty & Spas, Health & Medical, Reflexology, Day Spas",1,4.0
116,Bs_AR85Lm4eiHXAfeaKnVA,Bertolucci Brazilian Steakhouse,"Steakhouses, Salad, Brazilian, Restaurants",0,2.5
117,Q8GBjqGjamI3b2ZaPQNa_Q,Pita Kitchen - Arrowhead,"Mediterranean, Greek, Restaurants, Vegetarian",1,4.5
118,iX2c4IzH_L5F6FM5GD3SUQ,Tasty Crepes,"Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt",1,4.5
119,SYKIUCvN9JdSkVampgccfA,Amado's Mexican Food,"Mexican, Restaurants",1,4.0
120,ujHiaprwCQ5ewziu0Vi9rw,The Buffet at Bellagio,"American (New), Buffets, Restaurants",1,3.5
121,L9pTWWAATj7HoLaRe6ZA1Q,Philly's Famous,"Cheesesteaks, Sandwiches, Restaurants, American (Traditional), Delis",1,4.5
122,XUA7xA7myMaCuN6G3xYdIA,Number One Pho,"Tex-Mex, Vietnamese, Restaurants",1,3.5
123,XYIPXJ9parr9FtvvcGI1SA,GB Hand-pulled Noodles,"Chinese, Restaurants, Noodles",1,4.0
124,DVfCbJhJUDWRlUfrKzaKOA,Sam Woo BBQ Restaurant,"Restaurants, Noodles, Barbeque, Chinese",1,2.0
125,coo1x2Qu_bwMsLzDsC0NRQ,Escape Rooms Mesa,"Active Life, Escape Games",1,4.5
126,tjAeaGdxf7I4xN9M7wGJNQ,Pure Pizza,"Vegetarian, Gluten-Free, Food, Restaurants, Pizza, Farmers Market",1,4.0
127,6sATfFam9_q9uod0I2aCsg,Wu Tai Vegetarian Restaurant,"Chinese, Restaurants, Vegetarian",1,3.5
128,qaPSbg690KaX5av6xsSV4Q,Songbird Coffee & Tea House,"Coffee & Tea, Cafes, Food, Tea Rooms, Restaurants, Breakfast & Brunch",0,4.5
129,z8H4Mdzl4jS9pYswj6Jf9w,Buca Yorkville,"Seafood, Breakfast & Brunch, Italian, Restaurants",1,3.5
130,a9aW5e731lplWGHUZ02-zQ,Chino Locos Original,"Asian Fusion, Vegetarian, Vegan, Mexican, Restaurants",1,4.0
131,rTZVcJZ8G80i6NjLw0SW8Q,Silverton Casino,"Hotels & Travel, Event Planning & Services, Arts & Entertainment, Restaurants, Hotels, Casinos",1,3.5
132,XDYCIRENiT2doRZgwNJ3SA,Pepe's Tacos,"Food, Restaurants, Mexican",1,2.5
133,Er2XAYN8l1BadlYFwiPb9g,AZ Kabob House,"Middle Eastern, Restaurants, Mediterranean, Persian/Iranian",1,4.5
134,M0yfSpeDaYTPEnLjw_0g_g,Baker Wee,"Caterers, Desserts, Bakeries, Event Planning & Services, Custom Cakes, Sandwiches, Coffee & Tea, Party & Event Planning, Restaurants, Food",1,4.0
135,ksZfCKQHYdCu0e8KbMuBDg,Olives Mediterranean Grill,"Restaurants, Vegetarian, Mediterranean, Middle Eastern",1,4.0
136,Ouh38adC9WbCRSSyYGtL3Q,Margaritas Grill,"Seafood, Restaurants, Mexican",1,3.0
137,dwogRZ8Vdu7Pd4qSN0UwXg,Cineplex Cinemas Markham and VIP,"Arts & Entertainment, Cinema",1,3.5
138,yIxP32hWfZm5gyYUUh2WBA,Bonterra Restaurant & Wine Room,"American (New), Wine Bars, Restaurants, Bars, Seafood, Nightlife",1,3.5
139,WKOUTdVJS58E178JjhwidQ,Pastel Creperies & Dessert House,"Food, Restaurants, Coffee & Tea, Creperies, Desserts, Breakfast & Brunch",1,4.0
140,ZCXjNG1EBFiKKMtR9DOTGg,Thai House - University,"Seafood, Bars, Nightlife, Restaurants, Thai",1,4.0
141,jItm9rWFREGUkHMJZRbbPg,Drai's Nightclub,"Dance Clubs, Nightlife",1,3.5
142,Uuxwgc8kA88Cvt8LthoRdQ,Mi Peru South American Grill,"Restaurants, American (Traditional), Spanish, Latin American, Peruvian",1,4.0
143,5yZ1XmDcOEsElDeb9PlPDQ,Yagyu Ramen,"Restaurants, Japanese, Ramen",0,4.0
144,_j2EtQtgLuXGRBfbM5YwZA,Noodle Asia,"Restaurants, Asian Fusion, Chinese, Dim Sum, Noodles",1,3.5
145,KEGLWeFAWXvo0W2LnujhtQ,Lang Van Vietnamese,"Vietnamese, Restaurants",1,4.5
146,2YlUn3s132hNq5ueGeIiJg,Bonfyre American Grille,"Bars, Cocktail Bars, Nightlife, American (New), American (Traditional), Restaurants, Beer Bar",1,3.5
147,PjQngP_7m7PA8K1WUHdXqg,RETRO Dog,"Food, American (New), Burgers, Ice Cream & Frozen Yogurt, Hot Dogs, Restaurants",1,3.5
148,D-RQsQjEVI_w-KC7iDJd5Q,Cuisine Malaya,"Asian Fusion, Restaurants, Vegetarian, Malaysian, Sushi Bars",0,4.0
149,5ma1OUQWy_Ds80xUiP7JPQ,Fuku Burger Chinatown,"Burgers, Fast Food, Restaurants",1,4.0
150,3HmrkEZQWaemS2aPoe-xJA,Twisted Rose Winery and Eatery,"Sandwiches, Wineries, Food, Beer, Wine & Spirits, Arts & Entertainment, American (New), Restaurants",0,4.0
151,hXY9Yq0nOLgHsWLbjam--A,Beso Steakhouse,"Steakhouses, Restaurants, Diners",0,3.0
152,WnLhd38sH80ViWwzyF7yoA,Hibiscus,"Restaurants, Korean, Thai",1,4.0
153,i60v66vwf1A13YqcIqGD_A,Monty's Blue Plate Diner,"Restaurants, Vegetarian, Diners, American (Traditional)",1,4.0
154,7kzQjGmeI0Z1q06q_aE1PQ,Gimme Some Sugar,"Coffee & Tea, Restaurants, Bakeries, Beer, Wine & Spirits, Desserts, Food, Cafes",0,3.5
155,arv3T_av9OoVo3SvxV4TXw,Fish N Bowl,"Restaurants, Asian Fusion, Seafood, Sushi Bars",0,4.5
156,Km9IPMrNPEnn40ebgxs6vw,Nu Bügel,"Bagels, Food",1,3.5
157,hhhHgSaSl6GLtuDoDrMUZQ,Rott n' Grapes Uptown,"Lounges, Gastropubs, Sports Bars, Breakfast & Brunch, Bars, Wine Bars, Nightlife, Restaurants, Pubs, Italian, Beer, Wine & Spirits, Food, Tapas/Small Plates, Beer Bar",1,4.5
158,C2T7ecxqsVu99PhSqT3c3g,PDQ,"Sandwiches, Fast Food, Salad, Restaurants, Chicken Shop",1,4.5
159,uTCOEqjuVAXUOzti5TWj2Q,The Crepe Club,"Food, Sandwiches, Party & Event Planning, Caterers, Restaurants, French, Desserts, Creperies, Juice Bars & Smoothies, Event Planning & Services, Breakfast & Brunch",0,4.0
160,Wxxvi3LZbHNIDwJ-ZimtnA,The Venetian Las Vegas,"Shopping Centers, Resorts, Arts & Entertainment, Hotels, Shopping, Event Planning & Services, Automotive, Restaurants, Hotels & Travel, Casinos, Car Wash",1,4.0
161,6Hnf8Vk2BOuyDf11PZdvSw,Crafty Burg'r,"Bars, Restaurants, American (New), Burgers, Nightlife",1,4.0
162,tMYYSWyTppDcF070Hmy-kQ,Blue Ribbon Fried Chicken - Downtown Summerlin,"Restaurants, Fast Food, American (New), Chicken Wings, Chicken Shop",0,3.5
163,81-wh-qHg2hvwHQBjC0Q-w,WorldMark Las Vegas - Boulevard,"Vacation Rentals, Resorts, Hotels, Event Planning & Services, Hotels & Travel",1,3.0
164,3fw2X5bZYeW9xCz_zGhOHg,Tracy Dessert,"Food, Chinese, Restaurants, Desserts",1,3.5
165,U6ZPS03Nnm-peYC0q_bV6Q,Imperial Pub,"Bars, Pubs, Dive Bars, Nightlife",1,3.0
166,wSBNzVkRzTVlnR95AFvYMg,Get Air Las Vegas,"Event Planning & Services, Kids Activities, Rock Climbing, Home Services, Amusement Parks, Contractors, Party & Event Planning, Active Life, Trampoline Parks",1,4.0
167,uMQaaUvdHGhTFiyOhGa93w,Costco,"Shopping, Drugstores, Wholesale Stores, Appliances, Photography Stores & Services, Florists, Home & Garden, Department Stores, Automotive, Flowers & Gifts, Gas Stations, Food, Eyewear & Opticians, Tires, Furniture Stores, Kitchen & Bath, Grocery, Fashion",1,3.5
168,S5FTckOpSK0_Ma4c18ZEgg,Wo Fat,"Chinese, Restaurants",1,3.5
169,4RfLQ8p6kxZIU-A6_bKG0A,Smart Fix iPhone and Computer Repair,"Home Services, Shopping, Local Services, IT Services & Computer Repair, Computers, Home Network Installation, Professional Services, Data Recovery, Web Design, Mobile Phone Repair, Electronics Repair",1,4.5
170,bcJmbFHVAkLFqhJbUTdbyQ,Crown Bakery,"Bakeries, Desserts, Food, Coffee & Tea",1,4.0
171,-1xuC540Nycht_iWFeJ-dw,Romados,"Restaurants, Portuguese, Bakeries, Food, Chicken Shop, Barbeque",1,4.5
172,0gTTGuA6uEmMhLhfJi0hqA,Sammy's Woodfired Pizza and Grill,"Pizza, Salad, Gluten-Free, American (New), Restaurants",1,3.5
173,Ktia9NJfvxVxTLVcEnw9zQ,Carolina's Mexican Food,"Mexican, Event Planning & Services, Restaurants, Caterers",1,4.0
174,F2F6rJ_SPo-lUhJ_AmufLA,Tammie Coe Cakes,"Restaurants, Bakeries, Desserts, Coffee & Tea, Food, Sandwiches",1,4.0
175,R1jJQi2yR44D_2ileqr8kA,Living Kitchen,"Restaurants, Vegan, Live/Raw Food, Vegetarian",1,4.5
176,ElRXKFV7KXRIstW_aeX2xA,Caswells Shooting Range,"Sporting Goods, Shopping, Active Life, Gun/Rifle Ranges",1,3.5
177,-U0liwRSHGYBEMYVj8kFmQ,Mickey & Mooch,"Seafood, American (New), Restaurants, Steakhouses",1,3.0
178,NjDC1Evc2Wa6ykj8xVpoUw,Wahoo's Fish Tacos,"Salad, Restaurants, Gluten-Free, Seafood, American (New), Mexican",1,3.5
179,fyJAqmweGm8VXnpU4CWGNw,French Grocery,"Restaurants, Bars, Wine Bars, Bakeries, Coffee & Tea, Breakfast & Brunch, Food, French, Macarons, Nightlife, Grocery, Specialty Food, Beer, Wine & Spirits",0,4.0
180,2lcK3d4K7FU6O8wXdWzOmA,Cabin Club,"American (New), Restaurants, Steakhouses, Nightlife, Bars",1,4.0
181,2EhBiUnUTl_H2s4DXdKCTg,Bistro 19,"Bistros, American (New), Restaurants",1,4.0
182,yvqMh9kTv3Kx-tocc0DFBQ,Johnson Public House,"Bars, Breakfast & Brunch, Pubs, Coffee & Tea, Food, Nightlife, Restaurants, Beer, Wine & Spirits",1,4.0
183,e4h-sBBD70pn1RuAv_Q61w,Low Key Piano Bar,"Lounges, Piano Bars, Bars, Music Venues, Arts & Entertainment, Nightlife",1,3.5
184,kRhjWeAPs-U5RmakIKz0Pg,Tyber Creek Pub,"Irish Pub, Bars, British, Pubs, Burgers, Restaurants, Sandwiches, Irish, American (New), Nightlife",1,4.0
185,ZCYCNWA98718SZ0A4bHD7A,Dear & Fro,"Ice Cream & Frozen Yogurt, Food, Restaurants, Cafes, Desserts, Korean",1,3.5
186,Vs7gc9EE3k9wARuUcN9piA,Pan Asian,"Thai, Japanese, Chinese, Restaurants",1,4.5
187,iVTw0miizU79B4TcT3mJnA,Ruelo Patisserie,"Bakeries, Desserts, Food, Coffee & Tea",1,3.0
188,FBSWwaE6gR7KAOyG1QhakQ,Block & Grinder,"Butcher, Nightlife, Food, American (New), Restaurants, Bars, Cocktail Bars",0,4.0
