itemId,title,outdoor,time,genre
20,宝藏湾,2,2,"“宝藏湾”是全球迪士尼乐园中第一个以海盗为主题的园区，特别为上海迪士尼乐园打造。这里住着一群乐天随性的海盗，四处寻找有趣的远洋冒险。当游客踏入“宝藏湾”时，会情不自禁地沉浸在海盗的生活中，游览“船奇戏水滩”、“史洛比希堡”、“旱鸭子码头”和“小镇”,领略每一处的独特风情和魅力。大小游客还可以在“加勒比海盗——沉落宝藏之战”为史诗般的场景所惊叹，或在“凡迭戈剧院”近距离观赏“风暴来临——杰克船长之惊天特技大冒险”时大呼过瘾。"
21,上海影视乐园,1,2,·为中国十大影视基地之一。有旧上海的市井风情，有欧式的标准庭院。老上海特色的风貌是其特色之一。·乘坐乐园有轨电车或黄包车，走一走30年代的老上海传统街道、尝一尝旧上海的风味小吃，都非常有趣。·电视剧《情深深雨濛濛》《麻雀》、电影《建党伟业》《功夫》等作品都是在这个乐园里取的景。·上午10:30或下午2:30左右，如果你听到枪炮声或爆炸声，请不要害怕，因为这里还在进行影视拍摄。
22,花开海上生态园,1,2,花开海上生态园位于上海市金山区朱泾镇西侧，面积约40万平方米，北邻风景秀美的秀州塘，是融合科普、展示、观赏游览于一体的赏花主题公园。公园由花海、梅园、樱花园、秋景园四大园区组成。花开海上生态园位于上海市金山区朱泾镇西侧，占地600亩。由花海、梅园、樱花园、秋景园组成。春秋两季虞美人、格桑花大型花海连绵起伏，自然野趣，色彩绚丽，蔚为壮观；早春梅园多姿多彩，暗香浮动，心旷神怡；仲春樱花浪漫，海棠妩媚、玉兰雅致，一步一景；初冬时节红林尽染，荻花飘舞，曲径漫步，诗情画意。
23,老上海1930风情街,2,2,"上海1930风情街这是一条怀旧情调的市民休闲街,取名为“上海1930风情街”它是城市规划展示馆展示内容的一部分。 在这条街上,还有上海茶馆、老虎灶、咖啡馆、石库门客堂间和1:1复制的旧式消防栓,配上变幻的天幕，仿佛将游客带入到30年代老上海的城区之中,令人回味无穷。"
24,陆家嘴,2,3,·陆家嘴位于浦东新区的黄浦江畔，与外滩隔江相对，国内外首屈一指的金融商圈，现在已是上海最具魅力的地方。·汇集了东方明珠、上海国际会议中心、环球金融中心等高楼大厦，林立的摩天大楼让人仿佛置身于一片城市森林。·晚间，站在高楼大厦之上，俯瞰灯火辉煌的夜景，会更高感受到一线城市的现代感。·这里是时尚达人聚集的地方，各种国际大牌，购物的好去处。
25,七宝老街,1,2,七宝老街位于上海市闵行区七宝古镇的新街青年路傍，汉起形成，到宋初发展、明清繁盛，至今已有1000多年历史。七宝古镇同属江南太湖流域的千年古镇，风景如画，典型的城中之镇，又是离市区最近的古镇。·分为南北两大街，南大街以特色小吃为主，北大街以旅游工艺品、古玩、字画为主；整条街古色古香。·尽量避免节假日和周末等人气高峰前往，提前做好计划。
26,武康大楼,2,1,武康大楼，坐落于淮海中路和武康路交叉口，形状扁扁的，像熨斗一样，外观为法国文艺复兴式风格，一些文化演艺界名流均入住过这里。武康大楼附近充满了法式风情，坐在路边咖啡店的露天餐桌上，喝杯咖啡、晒晒太阳，仿佛进入另一个时空。大楼始建于1924年，由万国储蓄会出资兴建，由旅居上海的著名建筑设计师邬达克设计，是上海第一座外廊式公寓大楼
27,崇明岛国家地质公园,1,4,"""崇明岛国家地质公园， 2005年9月19日经中华人民共和国国土资源部批准建立。其范围涵盖整个崇明岛，东西宽约为76公里，南北宽约13～18公里，面积约1200平方公里。公园雄踞于万里长江的入海口，南与嘉定、宝山隔江相望，北与江苏海门、启东一衣带水，犹如蕴含于长江巨龙口中一颗熠熠生辉的明珠。"""
28,人民广场,2,1,"人民广场是上海最大的公共广场，由租界时代“远东最大的跑马厅”改造而成，也是上海的地标。
·广义上的人民广场，主要是开放式的广场、人民公园以及上海大剧院、上海博物馆等建筑组成。
·广场地下建有香港名品街、迪美购物中心和老上海1930风情街，展示了20世纪30年代的上海旧貌。
·广场中央是一片喷泉，晚上大约每半小时喷一次水，在各色灯光照射下很美，是个纳凉的好去处。"
29,青西郊野公园,1,2,青西郊野公园是2016年下半年建成的郊野湿地类公园，位于上海市青浦区金泽镇莲谢路大莲湖周边。公园以大莲湖为核心，串起周边湿地、湖泊、树林、鱼塘、农田、河道、民居，湖滩荡岛纵横交错。青西郊野公园位于上海市青浦区西部的金泽镇，这部分总面积大约是22平方公里。虽然在定位上来说，青西郊野公园公园属于“远郊的郊野公园”，但它距离上海市中心的距离也不到40公里
30,枫泾古镇,2,3,·枫泾古镇是典型的江南水乡，古镇河道纵横，桥梁有52座之多，最古老的桥已经有近700年历史。·街道两旁是两层楼房，木格窗露出原木本色，是原汁原味的晚清风貌。 ·古镇有两条主要的街道，主要景点有丁聪漫画馆、三百园、东区火政会等。·每逢节假日和旺季，枫泾古戏台上会有免费的传统戏剧节目表演。·枫泾古镇南大街的头上有游船码头，可以坐船体验水乡风情。
31,新场古镇,1,4,如果不是著名电影《色戒》、《叶问》在此取景，或许新场古镇还继续隐藏在都市深处。这里的民居多是清末民初建筑，许多是典型的中西合璧风格。新场大街纵贯古镇，新场的商业氛围不浓，店家大多为镇内居民服务。而街道上来来往往的人群，也多是当地百姓。少有矫揉造作的装饰，原生态的环境让初访的游人很快便融入当地人的生活氛围。每年四、五月桃花盛开时，还可到位于新场镇西面、沪南公路的新场桃源赏桃花。
32,甜爱路,1,1,·被誉为上海最浪漫的爱情马路，仅600米长，传说牵手走过这条小路的情侣可以收获永恒美满的爱情。·马路两侧每隔两米有个木框，共刻有28首中外著名的爱情诗篇，组成了一道“爱情墙”。·甜爱路上有一个爱心邮筒，从这座爱心邮筒投出的每一封信函，都将被盖上一枚英文“LOVE”的邮戳。·每逢情人节，都能看到盖爱心邮戳的窗口前排着长队的景象。
33,1192弄老上海风情街,2,2,位于上海世纪大道世纪汇商厦地下2层的1192老上海风情街，是一条以上海滩埠头文化为主线，融合了黄包车、码头、旧轮船、旧自行车、酒吧、化妆品店海报、有轨电车等多种场景，让游客有很强的代入感，甚至能在一秒内穿越进像《雨中情深》这样的影视剧场景。从1192旧上海风情街走来，你可以看到成群的时髦姑妈或身穿旗袍的美丽小妹妹们，在每个拍摄点拍照留念，她们也成了寻找风景的对象。最引人注目的是风情街上的“轨道”车和仿古电车，它们支撑着整个街景。
34,思南路,1,2,·思南路曾是法租界内的一条马路，道路两边是参天的法国梧桐树，充满文化气息。·在思南路的两边有二十多幢1920年代建造的花园式洋房，样式多变，几乎汇集了世界各地的建筑风格。·如今的思南路，还保留着纪念周恩来的“周公馆”、孙中山故居、梅兰芳故居等景点。·沿街也开着一些特色小店，可以去咖啡店里坐坐，或逛逛古董店，感受一下这座城市的历史和浪漫。
35,金山城市沙滩,1,3,城市里的人造海滩。夏天这里是收费的海水浴场，可以游泳，也可以玩水上自行车、摩托艇等娱乐项目。到了淡季就不要门票钱了，和家人一起在海边放风筝、堆沙子、玩烧烤。金山城市沙滩，位于杭州湾北岸，金山区南端，全长约2公里，由东北向西南徐徐延伸，因紧邻城区而得名。城市沙滩总长3529米，保滩大坝围水面积为1.5平方公里，采用高水隐堤的办法，隔绝了东海的浑浊，营造了一片碧蓝澄澈的海水；金山城市沙滩是一条集海景、海趣、海乐、海韵为一体的城市景观海岸线，更是一条充满浪漫、充满梦幻、充满遐想的亮丽风景线。金山城市沙滩的海水采用物理沉淀、生物降解、人工造浪、自然循环处理，辅以陆上的雨水收集系统和水中的动、植物链，科学地改造沙滩，打造了金沙碧水的城市景观岸线
36,上海老街,2,2,·上海老街又称“小东门”，汇集了上海最早的钱庄、金店、银楼、茶馆、戏楼等，体验老上海的好去处。·这是条风格独具的集旅游观光、购物消费、休闲娱乐、文化展示于一体的多功能特色街。·老街重现了老上海茶馆、春风得意楼、西施豆腐房等百年老店，同时开设丹凤茶楼、名医堂等传统特色商铺，有名的春风得意楼也在这里。
37,上海欢乐谷,1,4,·上海欢乐谷不仅是情侣们的约会圣地，也是适合全家游玩的大型主题乐园。一场场前所未有的欢乐盛宴，一次次惊心动魄的欢乐体验，一声声响彻云霄的欢乐呼喊，都能在这座欢乐殿堂里找到。·上海欢乐谷包含了“阳光港、欢乐时光、飓风湾、金矿镇、蚂蚁王国、上海滩、香格里拉”七个主题区。园区内最热门的是木质过山车谷木游龙和全园制高点天地双雄，一定不要错过。·除了 50 多项先进的娱乐设备外，欢乐谷内每天还有 20 余场超炫的各类表演，如室内大型马戏表演、室外影视特效表演、大型马战实景史诗表演，花车巡游等。预订提醒：1、请游客出示上海市动态健康码（“随申码”），验证为绿色的游客方可入园。注册方式：打开“随申办”APP或微信小程序、支付宝小程序进行填写。2、请游客配合工作人员进行测量体温。体温超过37.2°或不接受测量体温的游客将被劝返。3、景区入口处设有临时隔离区，若有发烧现象的游客及同行者，将按照流程进行暂时隔离，并交由疫情防控相关机构处理。4、请您入园时自觉佩戴口罩，未佩戴口罩的游客将被劝离。5、因疫情防控要求，景区当前实行限流游览，接待游客量不超过最大承载量的30%。请游客们有序入园且保持1.5米间的距离，听从现场工作人员安排。6、游玩期间如有身体不适，尤其是出现发烧、咳嗽等症状，请及时就近联系园内工作人员，切勿隐瞒。7、园区已采取全方位的消毒防疫措施，并对全体员工进行了专业的防疫安 全服务培训，公共洗手间配备消毒洗手液、一次性纸巾，请您安心游玩、使用。如有困难，您可寻求工作人员帮助。8、为确保安全，景区可能因异常天气、特殊活动、游客饱和、设备检修等原因调整开闭园时间、项目或表演开放时间，请以当天景区现场公告为准。9、所有游乐项目均会定期进行日检、周检和年度检查，相关检修工作可能会造成部分游乐项目运行时间延迟或暂停开放，详情以现场公告为准。10、门票对景区内另行收费的项目无效。收费项目请参考园内公告。11、发票及订单问题请联系在线客服索取，景区不提供报销凭证。
38,共青国家森林公园,1,2,·共青森林公园是上海中心城区面积最大的以森林为主要特色的公园，设南、西、北三个出入口。·公园以植物造景为主，植树近20万株，共有松涛幽谷、丛林原野、秋林爱晚、水乡映秀等十二大景区。·南北两园风格各异，北园共青森林公园着重森林丘陵湖泊草地，南园万竹园则小桥流水一派南国风光。·园内还设有烧烤、手划船、森林火车、卡丁车、激流勇进、攀岩等野趣性的娱乐项目30多项。
39,外白渡桥,1,1,·架设在上海苏州河与黄浦江汇合处的外白渡桥，为钢架结构下承式桥，是上海市区最大的一座钢铁桥。·外白渡桥已有百年历史，承载着老上海的历史文化，也见证着新上海的日新月异，在许多老上海的电视剧中都可见其身影。·赏桥需站在远处观全景，又可立于桥上亲密接触，同时欣赏苏州河两岸风景。·幸运的话也许还能看到新人玩摄影，趁红灯无车的空当，在桥上拍下个性又独特的婚纱照。
40,M50创意园,2,2,·M50是莫干山路50号的简称，是由原上海春明粗纺厂等纺织厂房改建而成的创意园区。·最大的特色是沿街的涂鸦和免费的画廊展览，可以看到抽象的、水彩的、油画的等各种画家的作品。·这里有来自世界各地的130余位艺术家以及画廊、艺术工作室等。还有一些创意涂鸦和咖啡厅等等。·电视剧《何以笙箫默》取景地之一就是在这里。许多年轻人喜欢到此打卡拍照。
41,东平国家森林公园,1,4,·位于崇明岛中部，远离市区的喧嚣，环境优美、野趣浓郁，是夏季避暑的好地方。·这里有各种娱乐设施和体验项目，可以一边欣赏花卉植物，一边骑马射箭，还可以亲手喂食小动物。·公园深处有烧烤区和露营基地，在森林中自助烧烤很有意思，可以自带食材去试一试。·这里共有两个门，可以在门口租用自行车代步。同时如果想要烧烤，请避开节假日，那时烧烤区人很多。
42,上海琉璃艺术博物馆,2,2,这座上海唯一的琉璃艺术博物馆，由台湾艺术家张毅、杨惠姗创办并设计。博物馆的外墙上攀附着两朵巨型金属网牡丹花，好似从琉璃中绽放出来：白天，花影静谧；入夜，花姿绚丽，呈现出浓郁的现代艺术意味。近百件历代琉璃珍品在馆内展出，不仅有中国古代人民的劳动结晶，亦有曾亮相19世纪巴黎世界博览会、被誉为“世界琉璃之父”的法国艺术家Emile Gallè的作品；54件造佛作品则集中展示了艺术家杨惠姗23年的智慧与辛劳。展品中最令人惊叹的是耗时10年创作的“今生大愿”观音造像，这尊源自敦煌莫高窟元代壁画的立体复原作品是该博物馆中唯一一件非琉璃材质的作品。其上空是精心设计的多媒体投影——飞天，观音的座下是一朵朵剔透的黄色琉璃莲花。
43,迪士尼小镇,1,1,"""迪士尼小镇是上海迪士尼度假区的一部分，毗邻上海迪士尼乐园，是与亲朋好友休闲出游的好去处。延续乐园的神奇体验，在这里你可以漫步于百老汇大道，在品味国际化街区风情的同时，一站购买由轻奢至时尚的多元且高质量的好物。你也可以沿着百食香街的鹅卵石街道，寻觅品尝丰富多样的世界美食。在迪士尼小镇湖畔，你将被宁静的星愿湖美景所围绕，在这里你可以放松心灵，与家人朋友享受宁静。波光粼粼的湖面美景，也让其成为浪漫时刻和周年纪念的理想场所。除此之外，迪士尼小镇全年都有精彩丰富的活动带给你无限惊喜，无论是风格各异的乐队演出，还是独具迪士尼特色的主题活动，都将让你每一次的迪士尼小镇之旅都充满愉悦。迪士尼小镇也是迪士尼朋友休闲玩耍的后花园，在这里，奇妙的魔法正在延续；在这里，每个人都乐在当下，灵感迸发；在这里，也许在下一个街角路口，你就将与奇妙不期而遇。"
44,上海辰山植物园,1,3,·上海辰山植物园一年四季都有植物观赏，即使是冬天，展览温室里也呈现出郁郁葱葱的景象。爬到山顶可俯瞰公园全景。·园区还有专门为盲人设置的植物园。针对他们的触觉、听觉、嗅觉等需求，种植无毒、无刺、具有明显的嗅觉特征的各类植物。·每年春天是游览的最佳时间；夏天可以来植物园欣赏睡莲等水生植物；秋天也有菊花盛开。·植物园还会举办各种花展，如春节的迎春展，3月底到4月的兰花展，秋天的秋韵展等等。
45,秋霞圃,1,2,秋霞圃，中国南方古典园林艺术的又一代表，一般认为是南宋时期修建的秋霞圃同时也是是上海五大园林之一，并以其布局精致、环境幽雅，小巧玲珑的特点而受到广大游客喜爱。而其建筑风格中的“小中见大”、曲折有致特点吸引了广大建筑学家们研究。秋霞圃是中国江南著名的古典园林，位于上海嘉定区嘉定镇东大街，东邻秋霞公寓，西毗陆俨少艺术院，南连东大街，北依启良路。秋霞圃是一座具有独特风格的明代园林，由三座私家园林明代龚氏园、沈氏园、金氏园和邑庙（城隍庙）合并而成，全园面积45.36亩。该园分为四个景区：桃花潭景区（原龚氏园）、凝霞阁景区（原沈氏园）、清镜塘景区（原金氏园）及邑庙景区。秋霞圃布局精致、环境幽雅，小巧玲珑，景物与色彩的变化都不大，好像笼罩着一层淡淡的秋意，让人充满着诗情画意的遐想。秋霞圃与松江醉白池、上海豫园、南翔古漪园、青浦曲水园并称为上海五大古典园林，园内建筑大多建于明代，而邑庙则可以上溯至宋代，如果按其中的邑庙部分的始建时间推算，可称为五大园林中最古老的园林。
46,上海中心大厦,2,2,·上海中心大厦一座超高层地标式摩天大楼。位于上海的陆家嘴贸易中心。·楼高632米，地上就有119层。外形类似一个吉他的拨片，每上升一层扭曲近1度，成螺旋式的外观。·其中“世界之巅”即是功能体验区，有城市展示观看台，娱乐，VIP小型酒吧、餐饮、观光会晤等功能。·在高楼的外部还有景观灯和主题灯光秀，除了正常的灯光展示，还与周围建筑群景观灯呼应。
47,东滩湿地公园,1,3,东滩湿地公园位于崇明岛的最东端，处于长江入海口，这里空气清新，又有一望无际的芦苇布满滩涂，走在木栈道上是一种亲近自然的享受。东滩是观日出的胜地，而每当秋冬候鸟迁徙的季节，可站在园内的观鸟台上观远处群鸟或飞翔或栖息，又有另一番生动自然的乐趣。东滩湿地是亚太地区候鸟迁徙的必经之路，也是水禽的越冬地。湿地公园内部的设施还算齐全，可以乘船游玩，还可以烧烤、露营、垂钓等。11月至来年3月是观鸟最佳时节，届时可看到成千上万的雁、鹭等飞禽，十分壮观。而最佳的观鸟时间是清晨，恰好也是赏日出的时间，可谓一举两得。公园中央建有观鹭台，便于登高观鸟。但东滩的地理位置偏远，交通不便，所以如果想清晨来赏日出观鸟，最好是住在附近的乡镇，而且最好自驾车。进入东滩湿地公园，依次经过湿地景观区、湿地生境修复区、水禽栖息地、雨水收集区几大区域，可以看到辽阔的芦苇丛以及湿地湖泊。春夏季来这里可以看到草丛中的各种花卉植物，但很难看到候鸟
48,上海动物园,1,3,·上海动物园邻近虹桥机场，原名西郊公园，是许多老上海人的回忆，也是中国第二大城市动物园。·整个园内花繁叶茂、环境清幽，更有小河穿流其中，走在园中可以感受到大都市内难得的自然生态气息。·园内共有620余种动物，除了两栖爬行类、食草动物、猛兽飞禽等动物展区，还有科教馆、蝴蝶馆等展馆。·小朋友们还可亲自喂食小动物，或去大草坪上玩耍晒太阳、划船、坐摩天轮也是不错的选择。
